Applicant_Client_ID,Emphasis Area,Emphasis Area 2,Emphasis Area 3,UU_APPL_CITIZEN,CTZNSHP,AGE,SEX,LOW_INCOME,UU_FIRSTGEN,UU_APPL_NTV_LANG,HAS_LANGUAGE_TEST,TEST_READ,TEST_SPEAK,TEST_WRITE,TEST_LISTEN,MAJOR,GPA,NUM_PREV_INSTS,HAS_GRE_GEN,GRE_VERB,GRE_QUANT,GRE_AW,HAS_GRE_SUBJECT,GRE_SUB,NUM_RECOMMENDS,R_AVG_ORAL,R_AVG_WRITTEN,R_AVG_ACADEMIC,R_AVG_KNOWLEDGE,R_AVG_EMOT,R_AVG_MOT,R_AVG_RES,R_AVG_RATING,RATING,DECISION
3953112,Differential Equations,Representation Theory,Applied Mathematics,Yes,UNITED STATES,22.5,Male,No,Unspecified,English,No,,,,,Mathematics,4,2,Yes,166,168,4.5,Yes,800,3,16.7,20,20,20,20,20,20,30,4,Waitlist
3953157,Probability,0,0,Yes,UNITED STATES,22.7,Male,Not Sure,Unspecified,English,No,,,,,Mathematics,3.57,1,Yes,154,165,4,Yes,720,3,16.7,16.7,16.7,16.7,16.7,16.7,16.7,21.7,3,Reject
3953222,Algebraic Geometry,Number Theory,Commutative Algebra,Yes,UNITED STATES,23,Male,No,Unspecified,English,No,,,,,Mathematics,3.88,1,No,,,,Yes,580,3,13.3,13.3,20,20,13.3,13.3,13.3,23.3,3.87,Waitlist
3953267,Commutative Algebra,Algebraic Geometry,Number Theory,Yes,UNITED STATES,23.9,Male,No,Unspecified,English,No,,,,,Mathematics,3.57,2,Yes,,,,Yes,610,4,17.5,15,20,15,15,17.5,20,25,2.25,Reject
3953323,Geometry/Topology,Algebraic Geometry,Differential Equations,Yes,UNITED STATES,21.3,Female,No,Unspecified,English,No,,,,,Mathematics,3.89,1,Yes,160,162,4.5,Yes,600,4,17.5,17.5,15,17.5,20,20,17.5,25,2.5,Reject
3953734,Probability,Statistics,Undecided,Yes,UNITED STATES,30.3,Male,No,Unspecified,English,No,,,,,Engineering,3.97,2,Yes,157,160,3,No,,3,16.7,13.3,13.3,20,20,16.7,10,23.3,3.63,Waitlist
3953857,Algebraic Geometry,Geometry/Topology,Representation Theory,Yes,UNITED STATES,23.9,Male,No,Unspecified,English,No,,,,,Mathematics,3.97,1,Yes,156,164,4,Yes,610,3,20,20,20,13.3,20,20,16.7,30,4.13,Waitlist
3953894,Algebraic Geometry,Algebraic Geometry,Representation Theory,No,CHINA,22,Male,Not Sure,Unspecified,Other,Yes,30,22,26,28,Mathematics,3.54,1,Yes,157,170,4,Yes,880,3,13.3,20,20,20,16.7,20,20,30,3.75,Waitlist
3953909,Probability,Mathematical Biology,Undecided,Yes,UNITED STATES,21.9,Male,No,Unspecified,English,No,,,,,Mathematics,3.63,1,Yes,162,167,4.5,Yes,600,3,20,16.7,16.7,16.7,20,20,16.7,26.7,1.5,Reject
3954150,Mathematical Biology,Materials and Fluids,Applied Mathematics,Yes,UNITED STATES,22,Male,No,Unspecified,English,No,,,,,Mathematics,4,2,Yes,165,170,5,Yes,810,3,16.7,13.3,20,20,13.3,20,6.7,30,4.43,Admit
3954159,Algebraic Geometry,Commutative Algebra,Geometry/Topology,Yes,UNITED STATES,22.6,Male,No,Unspecified,English,No,,,,,Applied Mathematics,3.95,2,Yes,165,167,4,Yes,830,4,7.5,15,20,20,7.5,20,15,27.5,2.25,Reject
3954161,Applied Mathematics,Probability,Mathematical Biology,Yes,UNITED STATES,21.9,Female,No,Unspecified,English,No,,,,,Mathematics,3.87,2,Yes,157,164,4,Yes,480,4,20,17.5,17.5,15,20,20,17.5,22.5,3.5,Reject
3954231,Algebraic Geometry,0,0,No,CHINA,23.2,Male,Unspecified,Unspecified,Simplified Chinese,Yes,29,22,25,25,Mathematics,3.34,2,Yes,155,170,3,Yes,900,3,1.7,8.3,10,11.7,0,10,6.7,10,3.93,Waitlist
3954260,Numerical Analysis,Applied Mathematics,0,No,UNITED STATES,24.4,Male,No,Unspecified,English,No,,,,,Mathematics,4,1,Yes,166,161,4,No,,3,20,20,20,16.7,20,20,6.7,26.7,3.9,Waitlist
3954300,Mathematical Biology,Numerical Analysis,Statistics,No,VIET NAM,21.9,Female,Yes,Unspecified,Other,Yes,27,23,29,29,Mathematics,3.78,1,Yes,152,168,3.5,No,,3,16.7,20,20,20,20,20,20,26.7,4.1,Admit
3954376,Undecided,Number Theory,Applied Mathematics,Yes,UNITED STATES,24,Male,No,Unspecified,English,No,,,,,Mathematics,3.93,1,Yes,169,169,4.5,Yes,900,3,10,6.7,20,20,20,16.7,20,30,2.75,Reject
3954429,Probability,Differential Equations,Geometry/Topology,No,CHINA,27.4,Male,Yes,Unspecified,Simplified Chinese,Yes,29,22,27,28,Mathematics,3.44,3,Yes,159,170,4,Yes,880,3,10,10,20,20,10,20,20,26.7,3.6,Reject
3954446,Geometry/Topology,Algebraic Geometry,0,No,INDIA,23,Male,Not Sure,Unspecified,Other,Yes,28,27,28,27,Mathematics,0,1,Yes,148,170,3.5,Yes,760,3,16.7,16.7,20,20,16.7,20,13.3,30,4.2,Admit
3954453,Geometry/Topology,0,0,Yes,UNITED STATES,21.6,Female,No,Unspecified,English,No,,,,,Mathematics,3.9,1,Yes,150,153,4,No,,3,20,16.7,20,20,20,20,20,26.7,3.88,Reject
3954460,Commutative Algebra,Number Theory,Representation Theory,Yes,UNITED STATES,22.6,Male,No,Unspecified,English,No,,,,,Applied Mathematics,4,1,Yes,163,167,4,Yes,750,3,13.3,13.3,20,20,13.3,16.7,16.7,23.3,4.9,Admit
3954466,Algebraic Geometry,Commutative Algebra,0,Yes,UNITED STATES,27.6,Male,No,Unspecified,English,No,,,,,Mathematics,3.98,1,Yes,162,167,4,Yes,860,3,13.3,13.3,20,20,20,20,16.7,30,3.17,Reject
3954488,Applied Mathematics,Numerical Analysis,Differential Equations,Yes,UNITED STATES,21.1,Female,Yes,Unspecified,English,No,,,,,Mathematics,3.66,1,Yes,149,154,3,No,,3,13.3,13.3,20,13.3,20,20,16.7,20,2.75,Reject
3954591,Representation Theory,Algebraic Geometry,Number Theory,No,INDIA,20,Male,No,Unspecified,Other,Yes,30,27,29,30,Mathematics,0,1,Yes,158,170,3.5,Yes,820,3,16.7,16.7,20,20,20,20,20,26.7,4.43,Waitlist
3954593,Representation Theory,Geometry/Topology,Probability,Yes,UNITED STATES,25.6,Unspecified,Unspecified,Unspecified,English,No,,,,,Computer Science,3.26,3,Yes,166,162,4.5,No,,3,13.3,10,16.7,16.7,20,16.7,13.3,20,4.5,Waitlist
3954595,Mathematical Biology,Applied Mathematics,0,Yes,UNITED STATES,21.4,Female,No,Unspecified,English,No,,,,,Engineering,3.81,1,Yes,159,160,4,Yes,550,3,13.3,13.3,16.7,16.7,16.7,16.7,13.3,21.7,3.73,Reject
3954616,Probability,Geometry/Topology,Applied Mathematics,Yes,UNITED STATES,21.4,Male,No,Unspecified,English,No,,,,,Mathematics,3.71,1,Yes,166,167,5,Yes,640,3,16.7,16.7,16.7,16.7,16.7,16.7,3.3,25,4.33,Waitlist
3954634,Commutative Algebra,Applied Mathematics,Representation Theory,Yes,UNITED STATES,31.4,Male,No,Unspecified,English,No,,,,,Mathematics,3.25,3,Yes,157,167,3,Yes,680,3,15,10,10,10,13.3,13.3,13.3,16.7,2,Reject
3954674,Algebraic Geometry,Geometry/Topology,Commutative Algebra,No,CHINA,28.6,Male,Unspecified,Unspecified,Simplified Chinese,Yes,30,22,23,26,Applied Mathematics,3.21,3,Yes,,,,Yes,750,3,10,13.3,16.7,13.3,20,20,6.7,21.7,4,Waitlist
